"codigo","tipo","quantidade_teorica","participacao_percentual","quantidade_teorica_total","quantidade_teorica_acao","participacao_percentual_acao","quantidade_dias_ultima_data_referencia","data_referencia","acao"
"MGLU3","ON NM","353448195","0.168","98933369823","353448195","0.1679999977350235","10","2025-03-19","MAGAZ LUIZA"
"ELET6","PNB N1","268875696","0.564","98933369823","2246046419","4.3709999322891235","10","2025-03-19","ELETROBRAS"
"WEGE3","ON NM","1243177587","2.805","98933369823","1243177587","2.805000066757202","10","2025-03-19","WEG"
"STBP3","ON NM","855712622","0.541","98933369823","855712622","0.5410000085830688","10","2025-03-19","SANTOS BRP"
"ELET3","ON N1","1977170723","3.807","98933369823","2246046419","4.3709999322891235","10","2025-03-19","ELETROBRAS"
"CYRE3","ON NM","273755006","0.304","98933369823","273755006","0.30399999022483826","10","2025-03-19","CYRELA REALT"
"PETZ3","ON NM","293689428","0.064","98933369823","293689428","0.06400000303983688","10","2025-03-19","PETZ"
"MULT3","ON N2","314150156","0.346","98933369823","314150156","0.34599998593330383","10","2025-03-19","MULTIPLAN"
"B3SA3","ON NM","5392540963","3.075","98933369823","5392540963","3.075000047683716","10","2025-03-19","B3"
"CSAN3","ON NM","1150987430","0.419","98933369823","1150987430","0.4189999997615814","10","2025-03-19","COSAN"
"RAIZ4","PN N2","1198936529","0.104","98933369823","1198936529","0.10400000214576721","10","2025-03-19","RAIZEN"
"AMOB3","ON NM","533959816","0.007","98933369823","533959816","0.007000000216066837","10","2025-03-19","AUTOMOB"
"AZZA3","ON NM","136643320","0.149","98933369823","136643320","0.14900000393390656","10","2025-03-19","AZZAS 2154"
"SBSP3","ON NM","683508568","3.246","98933369823","683508568","3.246000051498413","10","2025-03-19","SABESP"
"PCAR3","ON NM","462534972","0.055","98933369823","462534972","0.054999999701976776","10","2025-03-19","P.ACUCAR-CBD"
"RDOR3","ON NM","1145289019","1.554","98933369823","1145289019","1.5540000200271606","10","2025-03-19","REDE D OR"
"VIVT3","ON","382442128","0.929","98933369823","382442128","0.9290000200271606","10","2025-03-19","TELEF BRASIL"
"RADL3","ON NM","1286616979","1.197","98933369823","1286616979","1.1970000267028809","10","2025-03-19","RAIADROGASIL"
"SANB11","UNT","356586730","0.451","98933369823","356586730","0.45100000500679016","10","2025-03-19","SANTANDER BR"
"TIMS3","ON NM","807495418","0.66","98933369823","807495418","0.6600000262260437","10","2025-03-19","TIM"
"CPLE6","PNB N2","1679233590","0.828","98933369823","1679233590","0.828000009059906","10","2025-03-19","COPEL"
"VIVA3","ON NM","125446075","0.106","98933369823","125446075","0.10599999874830246","10","2025-03-19","VIVARA S.A."
"MRFG3","ON NM","302019876","0.226","98933369823","302019876","0.22599999606609344","10","2025-03-19","MARFRIG"
"USIM5","PNA N1","515193199","0.143","98933369823","515193199","0.14300000667572021","10","2025-03-19","USIMINAS"
"SMTO3","ON NM","128130966","0.137","98933369823","128130966","0.13699999451637268","10","2025-03-19","SAO MARTINHO"
"EQTL3","ON NM","1253541010","1.936","98933369823","1253541010","1.9359999895095825","10","2025-03-19","EQUATORIAL"
"TOTS3","ON NM","540206440","0.887","98933369823","540206440","0.8870000243186951","10","2025-03-19","TOTVS"
"TAEE11","UNT N2","218568234","0.356","98933369823","218568234","0.35600000619888306","10","2025-03-19","TAESA"
"AURE3","ON NM","323738747","0.12","98933369823","323738747","0.11999999731779099","10","2025-03-19","AUREN"
"CMIG4","PN N1","1858636840","0.997","98933369823","1858636840","0.996999979019165","10","2025-03-19","CEMIG"
"ITSA4","PN N1","5857796242","2.657","98933369823","5857796242","2.6570000648498535","10","2025-03-19","ITAUSA"
"VALE3","ON ED NM","4270903023","11.634","98933369823","4270903023","11.633999824523926","10","2025-03-19","VALE"
"CPFE3","ON NM","187732538","0.338","98933369823","187732538","0.33799999952316284","10","2025-03-19","CPFL ENERGIA"
"CRFB3","ON NM","532664283","0.187","98933369823","532664283","0.18700000643730164","10","2025-03-19","CARREFOUR BR"
"ITUB4","PN EB N1","5272192664","8.064","98933369823","5272192664","8.064000129699707","10","2025-03-19","ITAUUNIBANCO"
"CVCB3","ON NM","525591097","0.049","98933369823","525591097","0.04899999871850014","10","2025-03-19","CVC BRASIL"
"COGN3","ON NM","1872454628","0.162","98933369823","1872454628","0.16200000047683716","10","2025-03-19","COGNA ON"
"BRAV3","ON NM","460791208","0.402","98933369823","460791208","0.4020000100135803","10","2025-03-19","BRAVA"
"EMBR3","ON NM","734631801","2.714","98933369823","734631801","2.7139999866485596","10","2025-03-19","EMBRAER"
"CCRO3","ON NM","991920937","0.563","98933369823","991920937","0.5630000233650208","10","2025-03-19","CCR SA"
"CSNA3","ON","727459637","0.339","98933369823","727459637","0.33899998664855957","10","2025-03-19","SID NACIONAL"
"BRFS3","ON NM","814523002","0.758","98933369823","814523002","0.7580000162124634","10","2025-03-19","BRF SA"
"BBAS3","ON EX NM","2842613858","3.836","98933369823","2842613858","3.8359999656677246","10","2025-03-19","BRASIL"
"RENT3","ON NM","965986531","1.505","98933369823","965986531","1.5049999952316284","10","2025-03-19","LOCALIZA"
"LWSA3","ON NM","389635155","0.048","98933369823","389635155","0.04800000041723251","10","2025-03-19","LWSA"
"PETR4","PN ATZ N2","4431132660","7.594","98933369823","6686914838","11.795000076293945","10","2025-03-19","PETROBRAS"
"YDUQ3","ON ATZ NM","277677050","0.157","98933369823","277677050","0.15700000524520874","10","2025-03-19","YDUQS PART"
"PETR3","ON N2","2255782178","4.201","98933369823","6686914838","11.795000076293945","10","2025-03-19","PETROBRAS"
"SLCE3","ON NM","194261422","0.178","98933369823","194261422","0.17800000309944153","10","2025-03-19","SLC AGRICOLA"
"VBBR3","ON NM","1023538460","0.847","98933369823","1023538460","0.847000002861023","10","2025-03-19","VIBRA"
"BBDC4","PN N1","5129958973","2.988","98933369823","6614385930","3.7769998908042908","10","2025-03-19","BRADESCO"
"CXSE3","ON NM","517500000","0.384","98933369823","517500000","0.3840000033378601","10","2025-03-19","CAIXA SEGURI"
"BBDC3","ON N1","1484426957","0.789","98933369823","6614385930","3.7769998908042908","10","2025-03-19","BRADESCO"
"BRAP4","PN N1","250969312","0.212","98933369823","250969312","0.21199999749660492","10","2025-03-19","BRADESPAR"
"NTCO3","ON NM","850935197","0.383","98933369823","850935197","0.382999986410141","10","2025-03-19","GRUPO NATURA"
"AZUL4","PN N2","326872005","0.058","98933369823","326872005","0.057999998331069946","10","2025-03-19","AZUL"
"PSSA3","ON NM","182560698","0.349","98933369823","182560698","0.3490000069141388","10","2025-03-19","PORTO SEGURO"
